nome,endereco,area,quartos,banheiros,garagem,preco
"  Apartamento com 2 Quartos à Venda, 60m²  ","Avenida Alexandre de Morais, 1 - Parque Amazônia, Goiânia - GO", 60 , 1 ,  2     ,  1     ,       280000      
"  Apartamento com 2 Quartos à Venda, 54m²  ","Avenida Milão, 354 - Residencial Eldorado, Goiânia - GO", 54 , 3 ,  2     ,  5     ,       288000      
"  Apartamento com 2 Quartos à Venda, 67m²  ","Rua Maceió, 540 - Parque Amazônia, Goiânia - GO", 67 , 2 ,  2     ,  1     ,       460000      
"  Apartamento com 2 Quartos à Venda, 56m²  ","Avenida Padre Orlando Morais, 414 - Parque Amazônia, Goiânia - GO", 56 , 2 ,  2     ,  1     ,       269000      
"  Apartamento com 2 Quartos à Venda, 64m²  ","Rua Aporé, 704 - Parque Amazônia, Goiânia - GO", 64 , 3 ,  2     ,  2     ,       360000      
  LA VITA RESIDENCE - 6  ,"Rua Timburé, 72 - Santa Genoveva, Goiânia - GO", 74 , 4 ,  2     ,  2     ,       454500      
"  Apartamento com 2 Quartos à Venda, 60m²  ","Avenida Alexandre de Morais, 1 - Parque Amazônia, Goiânia - GO", 60 , 2 ,  2     ,  1     ,       280000      
"  Apartamento com 3 Quartos à Venda, 106m²  ","Rua do Parque, 1 - Jardim Atlântico, Goiânia - GO", 106 , 3 ,  4     ,  2     ,       698000      
"  Apartamento com  Quarto à Venda, 49m²  ","Rua T 38, 430 - Setor Bueno, Goiânia - GO", 49 , 2 ,  1     ,  1     ,       489000      
"  Apartamento com 3 Quartos à Venda, 131m²  ","Rua T 29, 119 - Setor Bueno, Goiânia - GO", 131 , 2 ,  4     ,  2     ,       700000      
"  Apartamento com 3 Quartos à Venda, 99m²  ","Praça A, 1 - Jardim Goiás, Goiânia - GO", 99 , 3 ,  5     ,  2     ,       775000      
"  Apartamento com 2 Quartos à Venda, 87m²  ","Rua T 59, 35 - Setor Bueno, Goiânia - GO", 87 , 4 ,  5     ,  2     ,       560000      
  LA VITA RESIDENCE  ,"Rua Timburé, 72 - Santa Genoveva, Goiânia - GO", 74 , 1 ,  2     ,  1-2     ,    Sob Consulta   
"  Apartamento com 2 Quartos à Venda, 58m²  ","Avenida Roma, 230 - Residencial Eldorado, Goiânia - GO", 58 , 3 ,  1     ,  1     ,       250000      
"  Apartamento com 2 Quartos à Venda, 71m²  ","Rua da Charita, 198 - Jardim Atlântico, Goiânia - GO", 71 , 4 ,  2     ,  1     ,       310000      
"  Apartamento com 3 Quartos à Venda, 86m²  ","Rua T 48, 683 - Setor Bueno, Goiânia - GO", 86 , 2 ,  3     ,  2     ,       440000      
"  Apartamento com 3 Quartos à Venda, 111m²  ","Avenida Primeira Radial, 17 - Setor Pedro Ludovico, Goiânia - GO", 111 , 3 ,  4     ,  2     ,       850000      
"  Apartamento com 3 Quartos à Venda, 89m²  ","Rua 137-A, 204 - Setor Marista, Goiânia - GO", 89 , 4 ,  4     ,  2     ,       765000      
"  Apartamento com 3 Quartos à Venda, 108m²  ","Rua C 158, 3223 - Jardim América, Goiânia - GO", 108 , 2 ,  3     ,  1     ,       425000      
  The Sun  ,"Rua 9, 13 - Setor Oeste, Goiânia - GO", 450 , 3 ,  5     ,  4     ,       4750000      
"  Apartamento com 3 Quartos à Venda, 98m²  ","Avenida Copacabana, 135 - Jardim Atlântico, Goiânia - GO", 98 , 3 ,  1     ,  2     ,       650000      
"  Apartamento com 3 Quartos à Venda, 80m²  ","Rua 226, 995 - Setor Leste Universitário, Goiânia - GO", 80 , 1 ,  3     ,  2     ,       600000      
"  Apartamento com 3 Quartos à Venda, 150m²  ","Rua T 37, 3832 - Setor Bueno, Goiânia - GO", 150 , 2 ,  4     ,  2     ,       750000      
"  Apartamento com 3 Quartos à Venda, 100m²  ","Rua Samuel Morse, 23 - Serrinha, Goiânia - GO", 100 , 2 ,  4     ,  1     ,       833896      
"  Apartamento com 3 Quartos à Venda, 75m²  ","Rua Timburé, 22 - Aeroporto Internacional Santa Genoveva, Goiânia - GO", 75 , 1 ,  2     ,  2     ,       382000      
"  Apartamento com 3 Quartos à Venda, 94m²  ","Avenida T 14, 1529 - Setor Bueno, Goiânia - GO", 94 , 3 ,  3     ,  2     ,       600000      
"  Apartamento com 3 Quartos à Venda, 72m²  ","Rua T 28, 12 - Setor Bueno, Goiânia - GO", 72 , 4 ,  2     ,  1     ,       527000      
"  Apartamento com 2 Quartos à Venda, 62m²  ","Rua 1034, 186 - Setor Pedro Ludovico, Goiânia - GO", 62 , 2 ,  2     ,  1     ,       437124      
"  Apartamento com 3 Quartos à Venda, 120m²  ","Rua T 28, 1 - Setor Bueno, Goiânia - GO", 120 , 2 ,  4     ,  2     ,       1100000      
"  Apartamento com 3 Quartos à Venda, 78m²  ","Avenida São João, 1 - Alto da Glória, Goiânia - GO", 78 , 1 ,  2     ,  2     ,       450000      
"  Apartamento com 2 Quartos à Venda, 71m²  ","Rua 1128, 182 - Setor Marista, Goiânia - GO", 71 , 1 ,  1     ,  1     ,       674449      
"  Apartamento com 3 Quartos à Venda, 125m²  ","Rua 58, 4 - Jardim Goiás, Goiânia - GO", 125 , 2 ,  4     ,  2     ,       830000      
"  Apartamento com 3 Quartos à Venda, 90m²  ","Alameda Juazeiro do Norte, 1 - Parque Amazônia, Goiânia - GO", 90 , 2 ,  4     ,  2     ,       550000      
"  Apartamento com 2 Quartos à Venda, 54m²  ","Rua Manaus, 1230 - Parque Amazônia, Goiânia - GO", 54 , 5 ,  2     ,  1     ,       285000      
"  Apartamento com 3 Quartos à Venda, 106m²  ","Rua T 38, 430 - Setor Bueno, Goiânia - GO", 106 , 2 ,  4     ,  2     ,       1059415      
"  Apartamento com 2 Quartos à Venda, 57m²  ","Rua Aracaju, 1 - Parque Amazônia, Goiânia - GO", 57 , 2 ,  1     ,  1     ,       239000      
"  Apartamento com 2 Quartos à Venda, 60m²  ","Avenida Alexandre de Morais, 1 - Parque Amazônia, Goiânia - GO", 60 , 1 ,  2     ,  1     ,       280000      
"  Apartamento com 2 Quartos à Venda, 54m²  ","Avenida Milão, 354 - Residencial Eldorado, Goiânia - GO", 54 , 2 ,  2     ,  5     ,       288000      
"  Apartamento com 2 Quartos à Venda, 67m²  ","Rua Maceió, 540 - Parque Amazônia, Goiânia - GO", 67 , 2 ,  2     ,  1     ,       460000      
"  Apartamento com 2 Quartos à Venda, 56m²  ","Avenida Padre Orlando Morais, 414 - Parque Amazônia, Goiânia - GO", 56 , 1 ,  2     ,  1     ,       269000      
"  Apartamento com 2 Quartos à Venda, 64m²  ","Rua Aporé, 704 - Parque Amazônia, Goiânia - GO", 64 , 2 ,  2     ,  2     ,       360000      
  LA VITA RESIDENCE - 8  ,"Rua Timburé, 72 - Santa Genoveva, Goiânia - GO", 74 , 2 ,  2     ,  1     ,       386400      
"  Apartamento com 3 Quartos à Venda, 93m²  ","Rua Cuiabá, 1 - Parque Amazônia, Goiânia - GO", 93 , 2 ,  4     ,  2     ,       690000      
"  Apartamento com 3 Quartos à Venda, 106m²  ","Rua do Parque, 1 - Jardim Atlântico, Goiânia - GO", 106 , 2 ,  4     ,  2     ,       698000      
"  Apartamento com  Quarto à Venda, 49m²  ","Rua T 38, 430 - Setor Bueno, Goiânia - GO", 49 , 2 ,  1     ,  1     ,       489000      
"  Apartamento com 3 Quartos à Venda, 131m²  ","Rua T 29, 119 - Setor Bueno, Goiânia - GO", 131 , 1-2 ,  4     ,  2     ,       700000      
"  Apartamento com 3 Quartos à Venda, 99m²  ","Praça A, 1 - Jardim Goiás, Goiânia - GO", 99 , 2 ,  5     ,  2     ,       775000      
"  Apartamento com 2 Quartos à Venda, 58m²  ","Avenida Roma, 230 - Residencial Eldorado, Goiânia - GO", 58 , 2 ,  1     ,  1     ,       250000      
  Residencial Lago Areião - 75m²  ,"Avenida Areião, 627 - Setor Pedro Ludovico, Goiânia - GO", 75 , 1 ,  3     ,  1-4     ,       599000      
